name,minutes,goals,assists,passes_success,passes_total,shots_on_target,duels_won,duels_total,ball_losses,recoveries_high
B. Fink,53.62,0.3,0.1,,,1.38,12.18,,6.59,1.33
D. Ulrich,67.16,0.03,0.1,,,0.7,16.05,,10.11,4.24
L. Zuffi,77.17,0.11,0.14,,,0.69,10.28,,5.82,5.67
P. Otele,63.67,0.25,0.06,,,1.72,20.38,,9.18,3.02
M. Akahomen,81.25,0.04,0.02,,,0.27,11.93,,6.43,8.74
A. Ajeti,57.82,0.28,0.07,,,1.68,17.5,,7.68,1.65
Metinho,61.68,0.08,0.05,,,0.57,14.08,,6.12,5.34
S. Cueni,63.22,0.0,0.04,,,0.12,12.6,,4.53,6.5
R. Arnold,80.78,0.03,0.01,,,0.36,16.27,,8.07,10.43
A. Krasniqi,61.01,0.25,0.08,,,1.75,18.81,,9.24,3.13
L. Leroy,51.73,0.03,0.02,,,0.74,13.26,,6.62,4.67
B. Traoré,63.8,0.3,0.16,,,1.61,16.93,,7.61,2.66
A. Kade,68.5,0.2,0.11,,,1.78,18.65,,8.88,5.18
R. Buess,69.65,0.28,0.11,,,1.62,17.59,,9.13,1.66
undefined,47.3,0.19,0.04,,,1.34,10.81,,5.58,1.07
A. Durrer,42.6,0.04,0.03,,,0.51,9.51,,4.96,4.22
L. Mühl,83.96,0.02,0.0,,,0.32,13.39,,7.25,10.69
J. Lukembila,64.83,0.17,0.15,,,1.28,20.11,,8.7,2.72
L. Avdullahu,77.78,0.07,0.03,,,0.55,13.89,,6.41,8.01
X. Shaqiri,73.04,0.21,0.21,,,1.62,13.18,,8.7,2.65
F. van Breemen,75.33,0.03,0.04,,,0.33,11.64,,6.49,9.49
L. Bajrami,62.97,0.48,0.01,,,1.57,11.93,,6.39,1.13
F. Frei,78.59,0.12,0.07,,,0.85,10.76,,6.85,7.29
M. Cisse,54.06,0.03,0.08,,,0.31,10.42,,6.01,4.13
L. Sahitaj,86.3,0.02,0.02,,,0.41,17.22,,8.78,9.98
T. Xhaka,76.47,0.02,0.05,,,0.41,16.53,,5.58,7.71
F. Rohner,49.28,0.08,0.08,,,0.72,10.94,,5.83,2.99
Romário Baró,52.74,0.07,0.08,,,0.76,13.66,,5.63,3.36
G. Sigua,45.6,0.13,0.05,,,0.83,11.14,,4.36,3.14
Junior Zé,67.55,0.19,0.08,,,2.0,20.99,,9.35,2.43
G. Lekaj,91.66,0.03,0.02,,,0.31,15.07,,8.37,12.05
A. Jankewitz,59.34,0.03,0.06,,,0.44,15.97,,7.39,5.44
M. Kanouté,36.33,0.3,0.04,,,1.52,6.78,,4.48,0.81
M. Šotiček,52.61,0.17,0.03,,,1.01,15.43,,6.64,2.75
C. Gomis,75.69,0.21,0.11,,,1.63,18.79,,8.32,2.23
R. Schneider,57.11,0.11,0.11,,,1.06,16.03,,7.76,4.19
M. Di Giusto,70.11,0.18,0.11,,,1.69,13.78,,8.55,3.39
N. Burkart,58.91,0.23,0.05,,,1.2,13.46,,7.03,2.7
Kevin Carlos,67.73,0.34,0.04,,,2.16,22.49,,9.72,1.25
K. Rüegg,75.23,0.03,0.05,,,0.34,16.83,,8.6,7.58
