name,minutes_played,goals,assists,shots_total,shots_on_target,passes_total,passes_success,duels_won,duels_total,ball_losses,recoveries
B. Fink,53.62,0.3,0.1,1.38,0.71,10.38,6.99,12.18,16.1,7.9,2.3
D. Ulrich,67.16,0.03,0.1,0.7,0.21,30.91,20.3,16.05,23.33,12.78,5.8
L. Zuffi,77.17,0.11,0.14,0.69,0.3,36.51,31.52,10.28,15.29,7.88,8.11
P. Otele,63.67,0.25,0.06,1.72,0.8,21.61,15.84,20.38,29.66,11.3,4.67
M. Akahomen,81.25,0.04,0.02,0.27,0.1,47.02,39.4,11.93,19.02,9.42,10.08
A. Ajeti,57.82,0.28,0.07,1.68,0.73,10.5,7.93,17.5,23.07,8.85,2.92
Metinho,61.68,0.08,0.05,0.57,0.22,28.62,23.95,14.08,21.15,8.8,7.36
S. Cueni,63.22,0.0,0.04,0.12,0.02,27.67,23.39,12.6,19.35,6.5,8.57
R. Arnold,80.78,0.03,0.01,0.36,0.11,41.76,33.97,16.27,25.64,12.5,12.66
A. Krasniqi,61.01,0.25,0.08,1.75,0.72,15.28,10.07,18.81,25.77,11.16,4.88
L. Leroy,51.73,0.03,0.02,0.74,0.2,24.67,19.46,13.26,19.36,8.94,6.71
B. Traoré,63.8,0.3,0.16,1.61,0.71,15.52,11.59,16.93,23.85,9.56,4.27
A. Kade,68.5,0.2,0.11,1.78,0.67,22.59,16.83,18.65,27.7,11.42,7.67
R. Buess,69.65,0.28,0.11,1.62,0.67,15.72,11.71,17.59,23.95,10.8,2.87
undefined,47.3,0.19,0.04,1.34,0.52,9.06,6.31,10.81,14.96,6.85,1.73
A. Durrer,42.6,0.04,0.03,0.51,0.12,19.16,15.16,9.51,14.06,7.17,5.44
L. Mühl,83.96,0.02,0.0,0.32,0.07,49.68,40.19,13.39,21.69,10.84,12.08
J. Lukembila,64.83,0.17,0.15,1.28,0.48,15.39,11.11,20.11,27.85,10.74,4.05
L. Avdullahu,77.78,0.07,0.03,0.55,0.18,42.11,36.68,13.89,21.1,8.97,11.8
X. Shaqiri,73.04,0.21,0.21,1.62,0.56,35.73,27.6,13.18,18.15,10.5,4.29
F. van Breemen,75.33,0.03,0.04,0.33,0.09,48.37,39.91,11.64,18.52,9.73,11.09
L. Bajrami,62.97,0.48,0.01,1.57,0.82,10.71,7.74,11.93,15.34,7.75,1.93
F. Frei,78.59,0.12,0.07,0.85,0.3,49.44,41.19,10.76,16.25,9.26,9.57
M. Cisse,54.06,0.03,0.08,0.31,0.11,22.07,16.59,10.42,15.39,8.52,5.7
L. Sahitaj,86.3,0.02,0.02,0.41,0.09,43.15,35.59,17.22,27.19,12.98,11.52
T. Xhaka,76.47,0.02,0.05,0.41,0.11,42.07,37.88,16.53,24.96,7.85,10.66
F. Rohner,49.28,0.08,0.08,0.72,0.24,15.93,11.43,10.94,16.22,7.6,4.11
Romário Baró,52.74,0.07,0.08,0.76,0.19,20.69,17.14,13.66,19.74,7.32,5.14
G. Sigua,45.6,0.13,0.05,0.83,0.33,14.58,11.81,11.14,16.47,5.77,4.63
Junior Zé,67.55,0.19,0.08,2.0,0.88,15.2,10.53,20.99,29.88,11.36,3.87
G. Lekaj,91.66,0.03,0.02,0.31,0.09,52.23,42.32,15.07,24.11,12.02,13.83
A. Jankewitz,59.34,0.03,0.06,0.44,0.11,24.51,18.38,15.97,23.94,9.86,7.74
M. Kanouté,36.33,0.3,0.04,1.52,0.63,8.11,6.26,6.78,9.48,5.26,1.44
M. Šotiček,52.61,0.17,0.03,1.01,0.43,12.12,9.25,15.43,21.8,8.47,4.33
C. Gomis,75.69,0.21,0.11,1.63,0.63,17.25,12.62,18.79,25.94,9.97,3.66
R. Schneider,57.11,0.11,0.11,1.06,0.39,22.17,16.71,16.03,23.47,9.89,6.18
M. Di Giusto,70.11,0.18,0.11,1.69,0.58,25.8,19.25,13.78,19.54,10.95,5.14
N. Burkart,58.91,0.23,0.05,1.2,0.59,13.79,9.36,13.46,18.68,8.94,3.98
Kevin Carlos,67.73,0.34,0.04,2.16,0.94,10.27,7.57,22.49,30.45,11.92,2.07
K. Rüegg,75.23,0.03,0.05,0.34,0.08,34.75,26.6,16.83,25.38,11.47,10.39
